City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beyneu,45.3167,55.2,62.11,50,100,10.2,KZ,1743652625
1,papatowai,-46.5619,169.4708,66.76,70,95,10.54,NZ,1743652627
2,albany,42.6001,-73.9662,36.52,92,100,3.0,US,1743652628
3,bethel,41.3712,-73.414,42.01,86,100,3.0,US,1743652629
4,siwa oasis,29.2041,25.5195,61.84,47,0,7.14,EG,1743652630
5,ribeira grande,38.5167,-28.7,58.77,83,62,14.0,PT,1743652631
6,chui,-33.6971,-53.4616,61.21,89,9,4.63,UY,1743652632
7,cockburn town,21.4612,-71.1419,77.2,84,0,25.26,TC,1743652633
8,grytviken,-54.2811,-36.5092,38.62,87,100,12.97,GS,1743652635
9,solnechnyy,50.7214,136.6319,38.43,90,74,3.09,RU,1743652636
10,at-bashi,41.1702,75.8106,41.49,38,0,2.15,KG,1743652637
11,atafu village,-8.5421,-172.5159,84.4,74,100,11.03,TK,1743652638
12,weno,7.4515,151.8468,80.55,89,100,6.91,FM,1743652639
13,puerto natales,-51.7236,-72.4875,32.94,83,4,2.44,CL,1743652640
14,kiskunhalas,46.434,19.4848,47.26,79,99,9.37,HU,1743652642
15,kavieng,-2.5744,150.7967,82.29,72,62,4.99,PG,1743652643
16,adamstown,-25.066,-130.1015,76.55,80,25,15.12,PN,1743652644
17,tiksi,71.6872,128.8694,-1.16,99,100,7.67,RU,1743652645
18,blackmans bay,-43.0167,147.3167,64.53,53,67,10.45,AU,1743652646
19,jamestown,42.097,-79.2353,52.02,83,40,16.11,US,1743652564
20,ilulissat,69.2167,-51.1,8.62,56,59,11.5,GL,1743652648
21,isafjordur,66.0755,-23.124,27.73,79,100,7.83,IS,1743652650
22,smithers,54.7804,-127.1743,48.52,31,20,6.91,CA,1743652651
23,east london,-33.0153,27.9116,59.94,94,75,1.14,ZA,1743652652
24,ushuaia,-54.8,-68.3,35.26,80,100,17.27,AR,1743652567
25,waitangi,-43.9535,-176.5597,60.82,95,31,5.99,NZ,1743652654
26,bilibino,68.0546,166.4372,18.25,86,100,4.27,RU,1743652657
27,tazovsky,67.4667,78.7,1.47,96,93,7.18,RU,1743652658
28,prince rupert,54.3161,-130.3201,44.69,82,0,14.97,CA,1743652422
29,thompson,55.7435,-97.8558,28.56,100,100,4.61,CA,1743652660
30,volya,51.7651,39.5404,42.89,89,100,7.54,RU,1743652661
31,coquimbo,-29.9533,-71.3436,62.33,94,0,10.36,CL,1743652662
32,labytnangi,66.6572,66.4183,10.04,92,72,13.35,RU,1743652664
33,whangarei,-35.7317,174.3239,63.14,96,100,11.01,NZ,1743652665
34,labrador city,52.9463,-66.9114,-0.49,60,0,2.3,CA,1743652666
35,yellowknife,62.456,-114.3525,10.92,56,20,9.22,CA,1743652667
36,west island,-12.1568,96.8225,84.18,84,100,11.5,CC,1743652668
37,port-aux-francais,-49.35,70.2167,47.93,97,100,38.9,TF,1743652669
38,stanley,54.868,-1.6985,40.24,94,0,4.45,GB,1743652670
39,nova sintra,14.8667,-24.7167,71.47,78,76,15.08,CV,1743652672
40,hawaiian paradise park,19.5933,-154.9731,78.31,73,75,13.8,US,1743652673
41,whitehorse,60.7161,-135.0538,43.57,42,20,5.75,CA,1743652674
42,lompoc,34.6391,-120.4579,52.52,76,75,18.41,US,1743652675
43,pangani,-5.4333,38.9667,75.99,87,68,8.21,TZ,1743652676
44,margaret river,-33.95,115.0667,74.05,45,100,3.38,AU,1743652677
45,carutapera,-1.195,-46.02,75.4,95,39,4.07,BR,1743652678
46,escarcega,18.6089,-90.7454,81.12,61,5,10.36,MX,1743652680
47,hamilton,39.1834,-84.5333,76.05,75,75,19.57,US,1743652681
48,kargasok,59.0556,80.8572,36.19,99,100,18.03,RU,1743652682
49,vicam,27.6333,-110.2833,61.48,47,35,6.02,MX,1743652683
50,luderitz,-26.6481,15.1594,63.68,78,0,4.81,NA,1743652684
51,georgetown,5.4112,100.3354,89.53,66,20,5.99,MY,1743652685
52,olonkinbyen,70.9221,-8.7187,21.47,69,100,32.14,SJ,1743652686
53,los alamos,35.8881,-106.307,37.18,36,0,6.91,US,1743652687
54,sokhumi,43.0033,41.0153,55.71,90,100,3.65,GE,1743652689
55,enewetak,11.3474,162.3373,80.62,75,100,23.47,MH,1743652690
56,avarua,-21.2078,-159.775,80.65,74,75,9.22,CK,1743652691
57,tolanaro,-25.0319,46.9987,74.19,89,1,4.0,MG,1743652692
58,kapuskasing,49.4169,-82.4331,24.89,100,100,19.57,CA,1743652693
59,tchaourou,8.8865,2.5975,75.43,87,97,3.2,BJ,1743652696
60,grand gaube,-20.0064,57.6608,79.38,83,99,1.99,MU,1743652697
61,skeldon,5.8833,-57.1333,75.45,94,63,8.23,GY,1743652698
62,chany,55.3121,76.7647,40.01,88,100,18.84,RU,1743652699
63,kodiak,57.79,-152.4072,44.11,81,0,4.61,US,1743652700
64,port elizabeth,-33.918,25.5701,58.32,99,20,2.3,ZA,1743652701
65,qaqortoq,60.7167,-46.0333,26.26,64,72,15.23,GL,1743652703
66,alvinopolis,-20.1067,-43.0489,70.61,89,27,2.57,BR,1743652704
67,tateyama,34.9833,139.8667,50.22,88,100,14.74,JP,1743652705
68,bungu,-7.6337,39.0582,72.75,99,100,3.4,TZ,1743652706
69,colares,38.7992,-9.4469,58.89,78,70,13.71,PT,1743652707
70,nar'yan-mar,67.6713,53.087,4.57,95,49,5.03,RU,1743652708
71,punta arenas,-53.15,-70.9167,35.71,69,40,11.5,CL,1743652534
72,cabo san lucas,22.8909,-109.9124,66.76,53,1,13.0,MX,1743652415
73,masterton,-40.9597,175.6575,71.31,41,100,6.78,NZ,1743652712
74,edinburgh of the seven seas,-37.0676,-12.3116,63.59,97,100,14.5,SH,1743652713
75,dhidhdhoo,6.8833,73.1,82.74,69,56,3.67,MV,1743652714
76,okhotsk,59.3833,143.3,26.02,84,100,6.55,RU,1743652715
77,chonchi,-42.6128,-73.8092,41.13,94,1,2.3,CL,1743652716
78,st. john's,47.5649,-52.7093,26.98,65,75,33.38,CA,1743652719
79,wailua homesteads,22.0669,-159.378,79.59,81,0,17.27,US,1743652720
80,shiyan,32.6475,110.7781,70.92,28,0,4.23,CN,1743652721
